date,jp_policy_rate,us_policy_rate
2015-01-01,0.0740,0.1100
2015-02-01,0.0760,0.1100
2015-03-01,0.0700,0.1100
2015-04-01,0.0610,0.1200
2015-05-01,0.0690,0.1200
2015-06-01,0.0720,0.1300
2015-07-01,0.0740,0.1300
2015-08-01,0.0760,0.1400
2015-09-01,0.0730,0.1400
2015-10-01,0.0760,0.1200
2015-11-01,0.0780,0.1200
2015-12-01,0.0750,0.2400
2016-01-01,0.0740,0.3400
2016-02-01,0.0330,0.3800
2016-03-01,-0.0030,0.3600
2016-04-01,-0.0370,0.3700
2016-05-01,-0.0590,0.3700
2016-06-01,-0.0550,0.3800
2016-07-01,-0.0430,0.3900
2016-08-01,-0.0430,0.4000
2016-09-01,-0.0520,0.4000
2016-10-01,-0.0370,0.4000
2016-11-01,-0.0490,0.4100
2016-12-01,-0.0440,0.5400
2017-01-01,-0.0450,0.6500
2017-02-01,-0.0380,0.6600
2017-03-01,-0.0420,0.7900
2017-04-01,-0.0540,0.9000
2017-05-01,-0.0530,0.9100
2017-06-01,-0.0560,1.0400
2017-07-01,-0.0540,1.1500
2017-08-01,-0.0490,1.1600
2017-09-01,-0.0580,1.1500
2017-10-01,-0.0370,1.1500
2017-11-01,-0.0480,1.1600
2017-12-01,-0.0420,1.3000
2018-01-01,-0.0400,1.4100
2018-02-01,-0.0420,1.4200
2018-03-01,-0.0620,1.5100
2018-04-01,-0.0630,1.6900
2018-05-01,-0.0610,1.7000
2018-06-01,-0.0710,1.8200
2018-07-01,-0.0700,1.9100
2018-08-01,-0.0590,1.9100
2018-09-01,-0.0590,1.9500
2018-10-01,-0.0600,2.1900
2018-11-01,-0.0700,2.2000
2018-12-01,-0.0680,2.2700
2019-01-01,-0.0640,2.4000
2019-02-01,-0.0550,2.4000
2019-03-01,-0.0440,2.4100
2019-04-01,-0.0680,2.4200
2019-05-01,-0.0500,2.3900
2019-06-01,-0.0630,2.3800
2019-07-01,-0.0710,2.4000
2019-08-01,-0.0460,2.1300
2019-09-01,-0.0590,2.0400
2019-10-01,-0.0220,1.8300
2019-11-01,-0.0430,1.5500
2019-12-01,-0.0380,1.5500
2020-01-01,-0.0320,1.5500
2020-02-01,-0.0160,1.5800
2020-03-01,-0.0470,0.6500
2020-04-01,-0.0360,0.0500
2020-05-01,-0.0470,0.0500
2020-06-01,-0.0480,0.0800
2020-07-01,-0.0280,0.0900
2020-08-01,-0.0350,0.1000
2020-09-01,-0.0540,0.0900
2020-10-01,-0.0200,0.0900
2020-11-01,-0.0320,0.0900
2020-12-01,-0.0260,0.0900
2021-01-01,-0.0170,0.0900
2021-02-01,-0.0160,0.0800
2021-03-01,-0.0170,0.0700
2021-04-01,-0.0120,0.0700
2021-05-01,-0.0170,0.0600
2021-06-01,-0.0290,0.0800
2021-07-01,-0.0360,0.1000
2021-08-01,-0.0340,0.0900
2021-09-01,-0.0220,0.0800
2021-10-01,-0.0270,0.0800
2021-11-01,-0.0400,0.0800
2021-12-01,-0.0260,0.0800
2022-01-01,-0.0200,0.0800
2022-02-01,-0.0180,0.0800
2022-03-01,-0.0080,0.2000
2022-04-01,-0.0120,0.3300
2022-05-01,-0.0180,0.7700
2022-06-01,-0.0380,1.2100
2022-07-01,-0.0120,1.6800
2022-08-01,-0.0180,2.3300
2022-09-01,-0.0490,2.5600
2022-10-01,-0.0500,3.0800
2022-11-01,-0.0670,3.7800
2022-12-01,-0.0660,4.1000
2023-01-01,-0.0200,4.3300
2023-02-01,-0.0190,4.5700
2023-03-01,-0.0170,4.6500
2023-04-01,-0.0150,4.8300
2023-05-01,-0.0510,5.0600
2023-06-01,-0.0660,5.0800
2023-07-01,-0.0460,5.1200
2023-08-01,-0.0630,5.3300
2023-09-01,-0.0540,5.3300
2023-10-01,-0.0200,5.3300
2023-11-01,-0.0150,5.3300
2023-12-01,-0.0120,5.3300
2024-01-01,-0.0140,5.3300
2024-02-01,-0.0060,5.3300
2024-03-01,0.0220,5.3300
2024-04-01,0.0770,5.3300
2024-05-01,0.0770,5.3300
2024-06-01,0.0770,5.3300
2024-07-01,0.0780,5.3300
2024-08-01,0.2270,5.3300
2024-09-01,0.2270,5.1300
2024-10-01,0.2270,4.8300
2024-11-01,0.2270,4.6400
2024-12-01,0.2270,4.4800
2025-01-01,0.2930,4.3300
2025-02-01,0.4780,4.3300
2025-03-01,0.4770,4.3300
2025-04-01,0.4770,4.3300
2025-05-01,0.4770,4.3300
2025-06-01,0.4770,4.3300
2025-07-01,0.4780,4.3300
2025-08-01,0.4770,4.3300
2025-09-01,0.4770,4.2200
2025-10-01,0.4770,4.0900
2025-11-01,0.4780,3.8800
2025-12-01,0.5570,3.7200
2026-01-01,0.7280,3.6400
2026-02-01,0.7280,3.6400
2026-03-01,0.7280,3.6400
2026-04-01,0.7270,3.6400
2026-05-01,0.7270,3.6300
2026-06-01,0.8410,3.6300
2026-07-01,0.9780,3.6300
2026-08-01,,3.6300
