Date,Code,O,H,L,C,Vo,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo
2025-06-30,01050,1829.0,1839.0,1822.0,1832.0,221700.0,405933000.0,1.0,1829.0,1839.0,1822.0,1832.0,221700.0
2025-06-30,01070,2589.0,2599.0,2572.0,2582.0,41100.0,106216000.0,1.0,2589.0,2599.0,2572.0,2582.0,41100.0
2025-06-30,01110,2146.0,2254.0,2146.0,2254.0,26738600.0,59306215000.0,1.0,2146.0,2254.0,2146.0,2254.0,26738600.0
2025-06-30,01230,1443.0,1456.0,1437.0,1450.0,2900300.0,4198668000.0,1.0,1443.0,1456.0,1437.0,1450.0,2900300.0
2025-06-30,01320,4320.0,4337.0,4288.0,4305.0,83800.0,361178000.0,1.0,4320.0,4337.0,4288.0,4305.0,83800.0
2025-06-30,01340,2095.0,2108.0,2087.0,2100.0,324400.0,680699000.0,1.0,2095.0,2108.0,2087.0,2100.0,324400.0
2025-06-30,01560,2255.0,2266.0,2246.0,2257.0,4075800.0,9196363000.0,1.0,2255.0,2266.0,2246.0,2257.0,4075800.0
2025-06-30,01670,4230.0,4247.0,4208.0,4225.0,474600.0,2005976000.0,1.0,4230.0,4247.0,4208.0,4225.0,474600.0
2025-06-30,01780,6240.0,6265.0,6175.0,6200.0,37300.0,231757000.0,1.0,6240.0,6265.0,6175.0,6200.0,37300.0
2025-06-30,01890,1317.0,1322.0,1311.0,1316.0,1163800.0,1531949000.0,1.0,1317.0,1322.0,1311.0,1316.0,1163800.0
2025-06-30,01940,987.0,991.0,979.0,983.0,570200.0,561267000.0,1.0,987.0,991.0,979.0,983.0,570200.0
2025-06-30,02080,3035.0,3047.0,3023.0,3035.0,17600.0,53416000.0,1.0,3035.0,3047.0,3023.0,3035.0,17600.0
2025-06-30,02130,3065.0,3077.0,3043.0,3055.0,273000.0,834925000.0,1.0,3065.0,3077.0,3043.0,3055.0,273000.0
2025-06-30,02220,1228.0,1231.0,1213.0,1216.0,37987200.0,46344384000.0,1.0,1228.0,1231.0,1213.0,1216.0,37987200.0
2025-06-30,02370,1682.0,1689.0,1675.0,1682.0,1098500.0,1847677000.0,1.0,1682.0,1689.0,1675.0,1682.0,1098500.0
2025-06-30,02450,5220.0,5241.0,5179.0,5200.0,285700.0,1487545000.0,1.0,5220.0,5241.0,5179.0,5200.0,285700.0
2025-06-30,02530,2606.0,2617.0,2596.0,2607.0,8000.0,20853000.0,1.0,2606.0,2617.0,2596.0,2607.0,8000.0
2025-06-30,02610,2244.0,2273.0,2235.0,2264.0,1038600.0,2344466000.0,1.0,2244.0,2273.0,2235.0,2264.0,1038600.0
2025-06-30,02760,421.0,423.0,418.0,420.0,54500.0,22908000.0,1.0,421.0,423.0,418.0,420.0,54500.0
2025-06-30,02940,1054.0,1066.0,1050.0,1062.0,205000.0,217163000.0,1.0,1054.0,1066.0,1050.0,1062.0,205000.0
2025-06-30,03020,3425.0,3444.0,3411.0,3430.0,4332900.0,14854626000.0,1.0,3425.0,3444.0,3411.0,3430.0,4332900.0
2025-06-30,03150,3800.0,3830.0,3785.0,3815.0,32700.0,124587000.0,1.0,3800.0,3830.0,3785.0,3815.0,32700.0
2025-06-30,03290,833.0,836.0,830.0,833.0,26200.0,21825000.0,1.0,833.0,836.0,830.0,833.0,26200.0
2025-06-30,03330,3933.0,3960.0,3931.0,3958.0,2045300.0,8078253000.0,1.0,3933.0,3960.0,3931.0,3958.0,2045300.0
2025-06-30,03470,2769.0,2790.0,2758.0,2779.0,745900.0,2070370000.0,1.0,2769.0,2790.0,2758.0,2779.0,745900.0
2025-06-30,03560,2692.0,2711.0,2681.0,2700.0,264400.0,713175000.0,1.0,2692.0,2711.0,2681.0,2700.0,264400.0
2025-06-30,03680,11960.0,12088.0,11912.0,12040.0,10100.0,121335000.0,1.0,11960.0,12088.0,11912.0,12040.0,10100.0
2025-06-30,03840,5420.0,5472.0,5398.0,5450.0,247100.0,1344224000.0,1.0,5420.0,5472.0,5398.0,5450.0,247100.0
2025-06-30,04150,16690.0,16757.0,16583.0,16650.0,276800.0,4612411000.0,1.0,16690.0,16757.0,16583.0,16650.0,276800.0
2025-06-30,04290,3520.0,3534.0,3501.0,3515.0,298600.0,1050077000.0,1.0,3520.0,3534.0,3501.0,3515.0,298600.0
2025-06-30,04370,1955.0,1975.0,1947.0,1967.0,37900.0,74398000.0,1.0,1955.0,1975.0,1947.0,1967.0,37900.0
2025-06-30,04440,622.0,624.0,618.0,620.0,1711200.0,1062085000.0,1.0,622.0,624.0,618.0,620.0,1711200.0
2025-06-30,04560,1100.0,1104.0,1096.0,1100.0,2943400.0,3237740000.0,1.0,1100.0,1104.0,1096.0,1100.0,2943400.0
2025-06-30,04670,,,,,0.0,0.0,1.0,,,,,0.0
2025-06-30,04810,3505.0,3559.0,3491.0,3545.0,194500.0,686909000.0,1.0,3505.0,3559.0,3491.0,3545.0,194500.0
2025-06-30,04930,2939.0,2951.0,2915.0,2927.0,38400.0,112550000.0,1.0,2939.0,2951.0,2915.0,2927.0,38400.0
2025-06-30,05070,1387.0,1398.0,1381.0,1392.0,394700.0,548765000.0,1.0,1387.0,1398.0,1381.0,1392.0,394700.0
2025-06-30,05190,823.0,827.0,820.0,824.0,5820200.0,4793905000.0,1.0,823.0,827.0,820.0,824.0,5820200.0
2025-06-30,05410,1477.0,1483.0,1464.0,1470.0,272100.0,400622000.0,1.0,1477.0,1483.0,1464.0,1470.0,272100.0
2025-06-30,05550,2851.0,2862.0,2839.0,2850.0,376500.0,1073150000.0,1.0,2851.0,2862.0,2839.0,2850.0,376500.0
2025-06-30,05630,6770.0,6797.0,6713.0,6740.0,40400.0,272700000.0,1.0,6770.0,6797.0,6713.0,6740.0,40400.0
2025-06-30,05840,1408.0,1414.0,1397.0,1403.0,51200.0,71919000.0,1.0,1408.0,1414.0,1397.0,1403.0,51200.0
2025-06-30,06020,3230.0,3253.0,3217.0,3240.0,3175900.0,10279330000.0,1.0,3230.0,3253.0,3217.0,3240.0,3175900.0
2025-06-30,06350,1330.0,1335.0,1315.0,1320.0,1137200.0,1504895000.0,1.0,1330.0,1335.0,1315.0,1320.0,1137200.0
2025-06-30,06480,2883.0,2898.0,2871.0,2886.0,34500.0,99532000.0,1.0,2883.0,2898.0,2871.0,2886.0,34500.0
2025-06-30,06660,878.0,884.0,874.0,880.0,23800.0,20928000.0,1.0,878.0,884.0,874.0,880.0,23800.0
2025-06-30,06790,2110.0,2118.0,2091.0,2099.0,90100.0,189450000.0,1.0,2110.0,2118.0,2091.0,2099.0,90100.0
2025-06-30,06910,2680.0,2691.0,2665.0,2676.0,163600.0,438012000.0,1.0,2680.0,2691.0,2665.0,2676.0,163600.0
2025-06-30,07050,2606.0,2620.0,2596.0,2610.0,253400.0,661036000.0,1.0,2606.0,2620.0,2596.0,2610.0,253400.0
2025-06-30,07160,2230.0,2239.0,2210.0,2219.0,274600.0,610344000.0,1.0,2230.0,2239.0,2210.0,2219.0,274600.0
2025-06-30,07320,1196.0,1201.0,1188.0,1193.0,139100.0,166085000.0,1.0,1196.0,1201.0,1188.0,1193.0,139100.0
2025-06-30,07410,1331.0,1336.0,1319.0,1324.0,962800.0,1276994000.0,1.0,1331.0,1336.0,1319.0,1324.0,962800.0
2025-06-30,07580,1267.0,1272.0,1254.0,1259.0,440300.0,555512000.0,1.0,1267.0,1272.0,1254.0,1259.0,440300.0
2025-06-30,07690,1006.0,1010.0,999.0,1003.0,18400.0,18474000.0,1.0,1006.0,1010.0,999.0,1003.0,18400.0
2025-06-30,07770,407.0,412.0,405.0,410.0,234100.0,95747000.0,1.0,407.0,412.0,405.0,410.0,234100.0
2025-06-30,07890,3085.0,3112.0,3073.0,3100.0,184600.0,571337000.0,1.0,3085.0,3112.0,3073.0,3100.0,184600.0
2025-06-30,08140,4525.0,4543.0,4497.0,4515.0,31800.0,143683000.0,1.0,4525.0,4543.0,4497.0,4515.0,31800.0
2025-06-30,08270,788.0,791.0,779.0,782.0,69100.0,54174000.0,1.0,788.0,791.0,779.0,782.0,69100.0
2025-06-30,08410,2415.0,2435.0,2405.0,2425.0,2699300.0,6536805000.0,1.0,2415.0,2435.0,2405.0,2425.0,2699300.0
2025-06-30,08620,641.0,648.0,638.0,645.0,87800.0,56514000.0,1.0,641.0,648.0,638.0,645.0,87800.0
2025-06-30,08880,1506.0,1512.0,1494.0,1500.0,123600.0,185647000.0,1.0,1506.0,1512.0,1494.0,1500.0,123600.0
2025-06-30,08950,885.0,888.0,870.0,873.0,1846400.0,1619293000.0,1.0,885.0,888.0,870.0,873.0,1846400.0
2025-06-30,09140,911.0,915.0,904.0,908.0,2369100.0,2153512000.0,1.0,911.0,915.0,904.0,908.0,2369100.0
2025-06-30,09260,4500.0,4533.0,4482.0,4515.0,47500.0,214225000.0,1.0,4500.0,4533.0,4482.0,4515.0,47500.0
2025-06-30,09430,7180.0,7259.0,7151.0,7230.0,652600.0,4707421000.0,1.0,7180.0,7259.0,7151.0,7230.0,652600.0
2025-06-30,09580,3700.0,3745.0,3685.0,3730.0,93000.0,345960000.0,1.0,3700.0,3745.0,3685.0,3730.0,93000.0
2025-06-30,09990,9760.0,9839.0,9721.0,9800.0,59800.0,585243000.0,1.0,9760.0,9839.0,9721.0,9800.0,59800.0
