DiscDate,Code,DocType,CurPerType,CurPerEn,NP,Eq,ShEq,BPS,EPS,ShOutFY,TrShFY
2024-02-12,09140,FYFinancialStatements_Consolidated_IFRS,FY,2023-12-31,24910200000,149055000000,145160000000,263.88,45.43,556340000,6240000
2024-02-13,06790,FYFinancialStatements_Consolidated_JP,FY,2023-12-31,1437300000,12540000000,11970000000,772.26,92.73,15500000,0
2024-04-10,01340,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,6174000000,93100000000,93100000000,1330.0,88.2,70000000,0
2024-04-11,03330,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,11475000000,123500000000,121125000000,2088.36,197.84,60000000,2000000
2024-04-25,03470,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,39294000000,170905000000,169005000000,879.78,205.96,197330000,5230000
2024-04-26,01230,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,58320000000,1282500000000,1231485000000,2755.0,130.32,450000000,3000000
2024-04-26,03020,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,117026100000,854620000000,836760000000,1490.75,207.85,577340000,16040000
2024-04-26,08410,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,46135800000,680960000000,653885000000,1425.52,100.97,465810000,7110000
2024-04-30,01780,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,6048000000,74480000000,73340000000,6268.38,516.48,11940000,240000
2024-04-30,04670,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,16200000000,399000000000,380000000000,1900.0,81.0,200000000,0
2024-04-30,05410,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,6374700000,37810000000,36195000000,1025.35,177.92,37710000,2410000
2024-05-01,09260,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,10243800000,103835000000,101745000000,7319.78,743.92,14610000,710000
2024-05-02,04290,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,9531000000,142025000000,135470000000,2024.96,142.36,72060000,5160000
2024-05-02,05190,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,74703600000,266950000000,259065000000,244.89,70.61,1057900000,0
2024-05-02,07690,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,499500000,8740000000,8645000000,1879.35,109.06,4790000,190000
2024-05-07,02080,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,1236600000,14060000000,13965000000,1410.61,124.28,10250000,350000
2024-05-08,01560,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,71949600000,366035000000,355775000000,615.31,124.75,591640000,13440000
2024-05-08,02130,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,-11399400000,574655000000,565535000000,7876.53,-158.77,71800000,0
2024-05-08,07890,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,22500000000,247000000000,237500000000,2375.0,225.0,100000000,0
2024-05-09,01110,FYFinancialStatements_Consolidated_IFRS,FY,2024-03-31,79380000000,969000000000,931000000000,1939.58,165.03,500000000,20000000
2024-05-09,06350,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,16065900000,137370000000,131575000000,461.02,56.05,295220000,9820000
2024-05-09,08620,FYFinancialStatements_Consolidated_IFRS,FY,2024-03-31,4954500000,66975000000,63935000000,792.26,61.3,82330000,1630000
2024-05-09,09990,FYFinancialStatements_Consolidated_IFRS,FY,2024-03-31,4320000000,15675000000,15200000000,380.0,108.0,40000000,0
2024-05-10,01890,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,28916100000,567815000000,556130000000,1477.1,76.8,376500000,0
2024-05-10,02450,FYFinancialStatements_Consolidated_IFRS,FY,2024-03-31,16848000000,152000000000,148200000000,1646.67,186.17,92000000,2000000
2024-05-10,02760,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,36900000,6935000000,6745000000,923.97,5.05,7370000,70000
2024-05-10,03150,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,2884500000,23370000000,22325000000,1975.66,258.7,11970000,670000
2024-05-10,03680,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,1066500000,25555000000,25270000000,10529.17,444.38,2510000,110000
2024-05-10,04440,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,-19980000000,361000000000,351500000000,1175.59,-66.82,300000000,1000000
2024-05-10,06910,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,5717700000,79420000000,76380000000,2808.09,211.69,29320000,2120000
2024-05-10,07410,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,7484400000,187815000000,183635000000,846.63,34.56,220940000,4040000
2024-05-10,08140,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,4371300000,46645000000,45885000000,3641.67,346.38,12740000,140000
2024-05-13,01320,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,6651900000,104690000000,103265000000,9303.15,599.27,11100000,0
2024-05-13,01670,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,14330700000,524590000000,499795000000,5362.61,153.71,95880000,2680000
2024-05-13,02220,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,31860000000,570000000000,560500000000,2874.36,163.38,200000000,5000000
2024-05-13,02530,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,194400000,1900000000,1900000000,1900.0,194.4,1040000,40000
2024-05-13,02610,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,22172400000,116185000000,114570000000,814.29,156.33,144850000,4150000
2024-05-13,03840,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,14102100000,229900000000,225720000000,6717.86,417.22,34770000,1170000
2024-05-13,04150,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,17280000000,77425000000,76000000000,1266.67,287.04,61000000,1000000
2024-05-13,06020,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,38139300000,266760000000,264480000000,520.22,74.61,522590000,14190000
2024-05-13,07320,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,8547300000,118655000000,114475000000,1601.05,119.53,73330000,1830000
2024-05-13,08270,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,333900000,6840000000,6745000000,766.48,38.34,9420000,620000
2024-05-14,01070,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,2951100000,38380000000,37620000000,2427.1,191.01,16360000,860000
2024-05-14,01940,FYFinancialStatements_Consolidated_IFRS,FY,2024-03-31,419400000,14155000000,13775000000,164.77,4.98,88410000,4810000
2024-05-14,02370,FYFinancialStatements_Consolidated_JP,FY,2024-03-31,16245900000,123310000000,122740000000,549.17,73.25,234680000,11180000
