Code,CoName,S33Nm,MktNm
01050,ネットA,情報・通信業,プライム
01070,電機C,電気機器,プライム
01110,オートA,輸送用機器,プライム
01230,電力J,電気・ガス業,プライム
01320,建設A,建設業,プライム
01340,リテールM,小売業,プライム
01560,サービスA,サービス業,プライム
01670,機械A,機械,プライム
01780,電機A,電気機器,プライム
01890,商事A,卸売業,プライム
01940,ネットF,情報・通信業,グロース
02080,ネットB,情報・通信業,プライム
02130,銀行A,銀行業,プライム
02220,オートB,輸送用機器,プライム
02370,化学A,化学,プライム
02450,ネットN,情報・通信業,プライム
02530,電機F,電気機器,スタンダード
02610,リテールA,小売業,プライム
02760,食品A,食料品,プライム
02940,電機B,電気機器,プライム
03020,ネットC,情報・通信業,プライム
03150,商事B,卸売業,プライム
03290,機械D,機械,スタンダード
03330,リテールC,小売業,プライム
03470,不動産A,不動産業,プライム
03560,ネットO,情報・通信業,プライム
03680,サービスB,サービス業,プライム
03840,証券A,証券、商品先物取引業,プライム
04150,電機G,電気機器,プライム
04290,機械B,機械,プライム
04370,サービスF,サービス業,グロース
04440,オートD,輸送用機器,プライム
04560,銀行K,銀行業,プライム
04670,電力P,電気・ガス業,プライム
04810,化学B,化学,プライム
04930,建設D,建設業,スタンダード
05070,ネットD,情報・通信業,プライム
05190,サービスC,サービス業,プライム
05410,保険A,保険業,プライム
05550,リテールE,小売業,プライム
05630,商事C,卸売業,プライム
05840,建設B,建設業,プライム
06020,ネットE,情報・通信業,プライム
06350,電機D,電気機器,プライム
06480,食品B,食料品,プライム
06660,リテールF,小売業,スタンダード
06790,サービスE,サービス業,プライム
06910,銀行B,銀行業,プライム
07050,商事D,卸売業,プライム
07160,ネットK,情報・通信業,グロース
07320,リテールB,小売業,プライム
07410,不動産B,不動産業,プライム
07580,化学C,化学,プライム
07690,食品D,食料品,スタンダード
07770,ネットG,情報・通信業,プライム
08140,サービスD,サービス業,プライム
08270,商事F,卸売業,スタンダード
08410,電機E,電気機器,プライム
08620,機械C,機械,プライム
08880,ネットH,情報・通信業,プライム
08950,食品C,食料品,プライム
09140,化学D,化学,プライム
09260,商事E,卸売業,プライム
09430,建設C,建設業,プライム
09580,化学E,化学,スタンダード
09990,ネットI,情報・通信業,プライム
03330,リテールC,小売業,プライム
